Drug1,Drug2,Simcomp_Score,,,
D07908,C06880,0.292776,,,
D07908,C08111,0.279279,,,
D07908,C06914,0.264822,,,
D07908,C06683,0.260504,,,
D07908,C12012,0.246154,,,
D07908,C08146,0.22288,,,
D07908,C06688,0.219212,,,
D07908,C08092,0.215933,,,
D07908,C06662,0.208531,,,
D07908,C07661,0.202186,,,
D07908,C06820,0.196319,,,
D07908,C15643,0.179577,,,
D07908,C07268,0.179039,,,
D07908,C07771,0.178862,,,
D07908,C00397,0.176471,,,
D07908,C07770,0.176471,,,
D07908,C05349,0.173184,,,
D07908,C06689,0.163347,,,
D07908,C15820,0.151203,,,
D07908,C07321,0.14841,,,
D07908,C07660,0.14841,,,
D07908,C01918,0.141479,,,
D07908,C12013,0.138211,,,
D07908,C06912,0.136364,,,
D07908,C06573,0.128149,,,
D07908,C06838,0.123596,,,
D07908,D00322,0.109057,,,
D07908,C01965,0.102662,,,
D07908,C07315,0.102041,,,
D07908,C07203,0.078652,,,
D07908,C13768,0.075269,,,
,,,,,
